Official tag,09/11/2017,13/02/2018,24/04/2018,22/05/2018,19/06/2018,17/07/2018,07/08/2018,10/09/2018,14/02/2019,10/07/2019,04/11/2019
UK 362735 101754,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.25,NA
UK 362735 101789,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.75,NA
UK 362735 101796,NA,NA,NA,NA,NA,NA,NA,NA,4.25,4,NA
UK 362735 101803,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.75,NA
UK 362735 101824,NA,NA,NA,NA,NA,NA,NA,NA,3.75,4.25,NA
UK 362735 101831,NA,NA,NA,NA,NA,NA,NA,NA,3,3.75,NA
UK 362735 101845,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,4.5
UK 362735 101887,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4
UK 362735 201762,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.25,4.5
UK 362735 201783,NA,NA,NA,NA,NA,NA,NA,NA,4,4.5,NA
UK 362735 201797,NA,NA,NA,NA,NA,NA,NA,NA,3.75,4,NA
UK 362735 201804,NA,NA,NA,NA,NA,NA,NA,NA,3.25,4,NA
UK 362735 201818,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,NA
UK 362735 201825,NA,NA,NA,NA,NA,NA,NA,NA,2.75,4,NA
UK 362735 201832,NA,NA,NA,NA,NA,NA,NA,NA,3.75,4,NA
UK 362735 201860,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,NA
UK 362735 201874,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4.5
UK 362735 201881,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,NA
UK 362735 201888,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,4.25
UK 362735 301742,2.5,3.5,3.75,4.25,4,4,4,4,NA,NA,NA
UK 362735 301784,NA,NA,NA,NA,NA,NA,NA,NA,3.25,3.75,NA
UK 362735 301812,NA,NA,NA,NA,NA,NA,NA,NA,3.25,3.75,NA
UK 362735 301826,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.75,NA
UK 362735 301833,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
UK 362735 301854,NA,NA,NA,NA,NA,NA,NA,NA,3.25,4,4
UK 362735 301896,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,4
UK 362735 401827,NA,NA,NA,NA,NA,NA,NA,NA,3.25,3.75,4
UK 362735 401834,NA,NA,NA,NA,NA,NA,NA,NA,3.75,3.75,NA
UK 362735 401841,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
UK 362735 401876,NA,NA,NA,NA,NA,NA,NA,NA,3.75,4,NA
UK 362735 401890,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.75,4
UK 362735 501716,2.75,3.25,4,4,4,4.25,4,NA,NA,NA,NA
UK 362735 501751,NA,NA,NA,NA,NA,NA,NA,NA,3.75,4.25,NA
UK 362735 501772,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.25,NA
UK 362735 501779,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,NA
UK 362735 501793,NA,NA,NA,NA,NA,NA,NA,NA,3.75,4,NA
UK 362735 501800,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA
UK 362735 501807,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,NA
UK 362735 501814,NA,NA,NA,NA,NA,NA,NA,NA,3.75,4,NA
UK 362735 501821,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.25,NA
UK 362735 501828,NA,NA,NA,NA,NA,NA,NA,NA,3,3.75,NA
UK 362735 501849,NA,NA,NA,NA,NA,NA,NA,NA,2.75,4,NA
UK 362735 501884,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,NA
UK 362735 601661,NA,NA,NA,4.25,3.5,3,2.5,3.5,NA,NA,NA
UK 362735 601745,2,2.5,3.75,3.5,4,4,4,NA,NA,NA,NA
UK 362735 601773,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.75,4
UK 362735 601780,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.25,NA
UK 362735 601801,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4
UK 362735 601808,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,NA
UK 362735 601815,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.25,NA
UK 362735 601822,NA,NA,NA,NA,NA,NA,NA,NA,3.25,4.25,NA
UK 362735 601878,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.75,4
UK 362735 601885,NA,NA,NA,NA,NA,NA,NA,NA,3,3.75,4.25
UK 362735 601892,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5,3.75
UK 362735 701655,3,3.25,4,4,3.75,4,4,4,NA,NA,NA
UK 362735 701753,NA,NA,NA,NA,NA,NA,NA,NA,3.25,4,NA
UK 362735 701760,NA,NA,NA,NA,NA,NA,NA,NA,3,3.75,3.75
UK 362735 701767,NA,NA,NA,NA,NA,NA,NA,NA,3.25,4.5,NA
UK 362735 701781,NA,NA,NA,NA,NA,NA,NA,NA,3.75,NA,NA
UK 362735 701795,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.75,NA
UK 362735 701816,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.25,NA
UK 362735 701830,NA,NA,NA,NA,NA,NA,NA,NA,3,3.75,4
UK 362735 701858,NA,NA,NA,NA,NA,NA,NA,NA,3.25,4,4.25
UK 362735 701872,NA,NA,NA,NA,NA,NA,NA,NA,3.25,3.75,NA
UK 362735 701886,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,4.25
